projector,param_group,param_name,step,rank,rank_energy,rank_90,rank_95,rank_99,effective_rank,mean_angle,max_angle,adaptive_rank,temperature,candidate_count
stochastic_lotus,o_proj,o_proj/layer6,300,8,0.8416032791137695,10,13,16,9.037464141845703,85.58063888549805,89.4848861694336,,2.667292518295781,16
stochastic_lotus,o_proj,o_proj/layer6,600,8,0.9352383613586426,6,10,15,4.269144535064697,84.43948459625244,89.94337463378906,,1.9918326587421527,16
stochastic_lotus,o_proj,o_proj/layer6,900,8,0.8446961641311646,11,13,16,9.71170711517334,84.60600566864014,89.04075622558594,,2.5615684301761696,16
stochastic_lotus,o_proj,o_proj/layer6,1200,8,0.8301339745521545,11,13,16,8.81085205078125,84.51105308532715,89.78631591796875,,2.945239761952898,16
stochastic_lotus,o_proj,o_proj/layer7,1,8,0.8478299379348755,10,13,15,9.742707252502441,,,,2.0551304201926395,16
stochastic_lotus,o_proj,o_proj/layer7,1,8,0.8478299379348755,10,13,15,9.742707252502441,,,,2.0551304201926395,16
stochastic_lotus,o_proj,o_proj/layer7,1,8,0.8478299379348755,10,13,15,9.742707252502441,,,,2.0551304201926395,16
stochastic_lotus,o_proj,o_proj/layer7,1,8,0.8478299379348755,10,13,15,9.742707252502441,,,,2.0551304201926395,16
stochastic_lotus,o_proj,o_proj/layer7,300,8,0.7774466276168823,12,14,16,11.168940544128418,85.58277320861816,89.47977447509766,,3.080849387921884,16
stochastic_lotus,o_proj,o_proj/layer7,300,8,0.795322835445404,12,14,16,10.296831130981445,85.17508506774902,89.11690521240234,,3.633788273229946,16
stochastic_lotus,o_proj,o_proj/layer7,600,8,0.9152149558067322,8,11,15,4.583405017852783,85.68294525146484,89.91072082519531,,2.436596805413277,16
stochastic_lotus,o_proj,o_proj/layer7,900,8,0.8239026069641113,11,13,16,9.842248916625977,85.56059837341309,88.81895446777344,,2.7357899154235232,16
stochastic_lotus,o_proj,o_proj/layer7,1200,8,0.7494209408760071,12,14,16,12.396143913269043,86.4657793045044,89.98297119140625,,3.9488082893848775,16
stochastic_lotus,o_proj,o_proj/layer8,1,8,0.8906505107879639,9,12,15,8.589156150817871,,,,1.8673534372423928,16
stochastic_lotus,o_proj,o_proj/layer8,1,8,0.8906505107879639,9,12,15,8.589156150817871,,,,1.8673534372423928,16
stochastic_lotus,o_proj,o_proj/layer8,1,8,0.8906505107879639,9,12,15,8.589156150817871,,,,1.8673534372423928,16
stochastic_lotus,o_proj,o_proj/layer8,1,8,0.8906505107879639,9,12,15,8.589156150817871,,,,1.8673534372423928,16
stochastic_lotus,o_proj,o_proj/layer8,300,8,0.8840221762657166,9,12,15,6.545336723327637,85.5120439529419,89.36126708984375,,2.538734658378668,16
stochastic_lotus,o_proj,o_proj/layer8,300,8,0.8854984641075134,9,12,15,7.126760005950928,86.08113384246826,89.98989868164062,,2.2752050610256567,16
stochastic_lotus,o_proj,o_proj/layer8,600,8,0.9534997344017029,5,8,14,4.50280237197876,85.3277177810669,89.67098999023438,,1.3999614414259254,16
stochastic_lotus,o_proj,o_proj/layer8,900,8,0.8881220817565918,9,12,15,7.814156532287598,84.53929901123047,89.0899429321289,,1.7855375767202621,16
stochastic_lotus,o_proj,o_proj/layer8,1200,8,0.8623873591423035,10,13,16,8.200324058532715,85.35924053192139,89.98592376708984,,2.267850475363253,16
stochastic_lotus,o_proj,o_proj/layer9,1,8,0.8527733087539673,10,13,15,9.778058052062988,,,,2.1607587197482996,16
stochastic_lotus,o_proj,o_proj/layer9,1,8,0.8527733087539673,10,13,15,9.778058052062988,,,,2.1607587197482996,16
stochastic_lotus,o_proj,o_proj/layer9,1,8,0.8527733087539673,10,13,15,9.778058052062988,,,,2.1607587197482996,16
stochastic_lotus,o_proj,o_proj/layer9,1,8,0.8527733087539673,10,13,15,9.778058052062988,,,,2.1607587197482996,16
stochastic_lotus,o_proj,o_proj/layer9,300,8,0.8049014210700989,11,14,16,11.001818656921387,84.8220157623291,89.66983795166016,,2.914338902346689,16
stochastic_lotus,o_proj,o_proj/layer9,300,8,0.8316760659217834,11,13,16,9.745277404785156,84.27556133270264,89.56441497802734,,2.9154728245227943,16
stochastic_lotus,o_proj,o_proj/layer9,600,8,0.9492136836051941,5,9,14,3.7626543045043945,84.89567947387695,89.60453796386719,,1.736245796621229,16
stochastic_lotus,o_proj,o_proj/layer9,900,8,0.836837649345398,11,13,16,10.28885555267334,85.06920528411865,89.97992706298828,,2.4604925406561367,16
stochastic_lotus,o_proj,o_proj/layer9,1200,8,0.7858473062515259,12,14,16,11.539816856384277,85.58393669128418,89.31846618652344,,3.4281664182449227,16
stochastic_lotus,q_proj,q_proj/layer0,1,8,0.9956450462341309,3,3,6,2.672150135040283,,,,0.7558464566337049,16
stochastic_lotus,q_proj,q_proj/layer0,1,8,0.9956450462341309,3,3,6,2.672150135040283,,,,0.7558464566337049,16
stochastic_lotus,q_proj,q_proj/layer0,1,8,0.9956450462341309,3,3,6,2.672150135040283,,,,0.7558464566337049,16
stochastic_lotus,q_proj,q_proj/layer0,1,8,0.9956450462341309,3,3,6,2.672150135040283,,,,0.7558464566337049,16
stochastic_lotus,q_proj,q_proj/layer0,300,8,0.9854346513748169,4,5,10,3.6736574172973633,63.529284954071045,89.40113830566406,,0.9843913014014902,16
stochastic_lotus,q_proj,q_proj/layer0,300,8,0.9844993352890015,4,5,10,3.1315524578094482,64.72565984725952,88.10491180419922,,1.2050998020145711,16
stochastic_lotus,q_proj,q_proj/layer0,600,8,0.9726783037185669,5,7,12,5.218915939331055,64.67810893058777,89.65869903564453,,1.123452059126897,16
stochastic_lotus,q_proj,q_proj/layer0,900,8,0.9765586853027344,5,6,11,4.218653202056885,62.42469501495361,81.10385131835938,,1.159273523338852,16
stochastic_lotus,q_proj,q_proj/layer0,1200,8,0.9813634753227234,4,5,11,3.1104118824005127,63.794987201690674,89.76998901367188,,1.194693446635738,16
stochastic_lotus,q_proj,q_proj/layer1,1,8,0.9957286715507507,1,2,5,1.4269511699676514,,,,0.9816186405256667,16
stochastic_lotus,q_proj,q_proj/layer1,1,8,0.9957286715507507,1,2,5,1.4269511699676514,,,,0.9816186405256667,16
stochastic_lotus,q_proj,q_proj/layer1,1,8,0.9957286715507507,1,2,5,1.4269511699676514,,,,0.9816186405256667,16
stochastic_lotus,q_proj,q_proj/layer1,1,8,0.9957286715507507,1,2,5,1.4269511699676514,,,,0.9816186405256667,16
stochastic_lotus,q_proj,q_proj/layer1,300,8,0.9840596914291382,2,4,11,1.8226341009140015,74.40253162384033,87.4164047241211,,1.622364138202017,16
stochastic_lotus,q_proj,q_proj/layer1,300,8,0.9914730787277222,1,2,8,1.4057117700576782,70.91596126556396,88.7546615600586,,1.6877626438979936,16
stochastic_lotus,q_proj,q_proj/layer1,600,8,0.9807840585708618,2,5,11,2.135918140411377,69.53466796875,87.95207977294922,,1.4308587240978363,16
stochastic_lotus,q_proj,q_proj/layer1,900,8,0.9659357070922852,4,7,13,2.6098291873931885,70.91426086425781,87.3505630493164,,1.8217153009460507,16
stochastic_lotus,q_proj,q_proj/layer1,1200,8,0.9828581809997559,1,3,11,1.6527769565582275,69.06541156768799,87.76923370361328,,1.985860463222336,16
stochastic_lotus,q_proj,q_proj/layer10,1,8,0.8969833850860596,9,12,15,5.807585716247559,,,,1.976285171348053,16
stochastic_lotus,q_proj,q_proj/layer10,1,8,0.8969833850860596,9,12,15,5.807585716247559,,,,1.976285171348053,16
stochastic_lotus,q_proj,q_proj/layer10,1,8,0.8969833850860596,9,12,15,5.807585716247559,,,,1.976285171348053,16
stochastic_lotus,q_proj,q_proj/layer10,1,8,0.8969833850860596,9,12,15,5.807585716247559,,,,1.976285171348053,16
stochastic_lotus,q_proj,q_proj/layer10,300,8,0.8529521226882935,10,13,16,7.55786657333374,63.3657112121582,86.92557525634766,,3.2039952913314758,16
stochastic_lotus,q_proj,q_proj/layer10,300,8,0.8650016784667969,10,13,16,6.080162525177002,63.099316120147705,85.34893035888672,,3.36524766248455,16
